CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057922-118-COT25;F5-034-BMC-ADQUISICION INCUBADORA DE LECTURA RAPIDA PARA CESFAM CON SAR CHUYACA;Adquisición de equipos médicos y no médicos para CESFAM con SAR Chuyaca, Osorno.;6;desierta;Desierta;2;Segundo llamado;2025-09-11 10:00;2025-09-17 11:49;2025-09-09 07:54;2025-09-17 11:49;2025-10-02 16:08;;Amador Barrientos #2360;5;Estimado;CLP;1628000;1628000;1628000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;0;2;0;;Ningún proveedor cumple con los requerimientos técnicos solicitados;;False;False;2;1;2
1077241-115-COT25;F1-476/477/481 MAR ADQUISICION DE INSUMOS PROMOCIONALES.;ADQUISICION DE INSUMOS PROMOCIONALES.;6;desierta;Desierta;1;Primer llamado;2025-09-30 13:00;2025-10-01 13:15;2025-09-29 12:44;2025-09-30 13:00;2025-10-02 14:35;;MANUEL RODRIGUEZ 759 OSORNO;8;Estimado;CLP;1650000;1650000;1650000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Administración de Fondos;10;Región de los Lagos ;1;2;0;;precio sobrepasa presupuesto autorizado.;;False;True;2;5;2
1057727-43-COT25;F1-02-AAL//Proyecto bienestar HPU/Insumos y elementos Cultura y Conocimiento;Adquisición de Insumos y elementos proyecto Intercultural año 2025/ Proyecto bienestar HPU;6;desierta;Desierta;2;Segundo llamado;2025-09-26 12:00;2025-10-01 19:15;2025-09-24 09:39;2025-10-01 19:15;2025-10-02 11:46;;21 de mayo 468;3;Disponible;CLP;121000;121000;121000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienestar;10;Región de los Lagos ;1;0;0;;No se reciben ofertas.;;False;True;0;3;0
1057922-127-COT25;F5-037-BMC-ADQUISICION CARRO DE PARO PARA CECOSF EL ENCANTO, COMUNA DE PUYEHUE;Adquisición de equipos y equipamiento para habilitación de CECOSF El Encanto, comuna de Puyehue.;4;proveedor_seleccionado;Proveedor seleccionado;2;Segundo llamado;2025-09-25 15:00;2025-10-01 15:13;2025-09-23 11:35;2025-10-01 15:13;2025-10-02 11:46;;AMADOR BARRIENTOS #2360;5;Estimado;CLP;4500000;4500000;4500000;;;53543740;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;0;5;0;;;;False;False;2;1;5
1057532-707-COT25;F2-333-DCR/Compra Insumos de Escritorio y Librería COSAM Oriente;SE REQUIERE LA ADQUISICIÓN DE INSUMOS DE ESCRITORIO Y LIBRERIA SEGUN ESPECIFICACIONES.  Serán declaradas inadmisibles las ofertas que no adjunten lo siguiente:  1) Formulario Anexo Proveedor.  2) Cotización detallada, según especificaciones adjuntas.  3) Indicar en días hábiles el plazo de envío.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-10-01 10:00;2025-10-03 08:33;2025-09-29 11:26;2025-10-01 10:00;2025-10-02 08:33;;Av. Manuel Rodriguez 759.;7;Estimado;CLP;1112430;1112430;1112430;;;53540526;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;12;0;;;;False;False;2;17;12
1077241-116-COT25;F1-475-MAR ADQUISICION DE POSTER INFORMATIVO.;ADQUISICION DE POSTER INFORMATIVO.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-10-01 09:30;2025-10-02 10:23;2025-09-30 08:36;2025-10-01 09:30;2025-10-02 08:21;;MANUEL RODRIGUEZ 759 OSORNO;8;Estimado;CLP;300000;300000;300000;;;53540439;;SERVICIO DE SALUD OSORNO;61.607.600-0;Administración de Fondos;10;Región de los Lagos ;1;3;0;;;;False;True;1;1;3
1077241-114-COT25;F1-381-RUA// Insumos para Ruta Médica 5to. Llamado;Se requiere la compra de insumo para utilizar en Ruta Médica, Plazo máximo de entrega 5 días hábiles, las ofertas que superen el plazo indicado o no lo informen en su oferta serán declaradas INADMISIBLES.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-09-30 17:00;2025-10-02 02:13;2025-09-29 07:46;2025-09-30 17:00;2025-10-02 07:22;;Avda. Manuel Rodriguez 759, bodega general At. Cecilia Garay / José Luis Vallejos, Osorno, Región de los Lagos, Osorno;5;Estimado;CLP;30000;30000;30000;;;53540288;;SERVICIO DE SALUD OSORNO;61.607.600-0;Administración de Fondos;10;Región de los Lagos ;1;2;0;;;;False;False;0;1;2
1057727-50-COT25;F2-02-DRO| FULL DAY HPMQ | COMPRA DE ALIMENTACIÓN;CARGA EN PLATAFORMA DIGITAL PARA COMPRA DE ALIMENTACION SUPERMERCADOS Y RESTAURANTES, DEBE CONTAR CON APP DIGITAL, CON PAGO QR, LA CARGA DEBE ESTAR DISPONIBLE DENTRO DE 24 HRS PARA PODER UTILIZAR.;4;proveedor_seleccionado;Proveedor seleccionado;2;Segundo llamado;2025-10-01 12:30;2025-10-02 12:43;2025-09-30 12:16;2025-10-02 12:43;2025-10-02 03:16;;QUILACAHUIN S/N RUTA U10 K38;1;Disponible;CLP;800000;800000;800000;;;53546246;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienestar;10;Región de los Lagos ;1;2;0;;;;False;False;0;1;2
1057532-690-COT25;F2-336- JOA//Adquisición de Test de Detección de Multidrogas de resultado inmediato (6 drogas).;Reponer test de detección de drogas como parte de la gestión de los procesos terapéuticos, con el fin de contar con una herramienta que permita objetivar el consumo de una o más sustancias mediante un método simple, higiénico y rápido, consistente en un test de orina en pocillo de depósito con llave activadora para el contraste de la muestra con sustancias verificadoras de las distintas drogas presentes.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-09-22 12:00;;2025-09-16 14:56;2025-09-22 12:00;2025-10-02 01:06;;Av. Manuel Rodriguez 759,;3;Estimado;CLP;700000;700000;700000;;;53545030;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;11;0;;;;False;False;1;1;11
1057532-634-COT25;F1-252-MAR ADQUISICION DE IMPRESIONES.;ADQUISICION DE IMPRESIONES.;5;cancelada;Cancelada;1;Primer llamado;2025-09-01 07:00;2025-09-03 03:55;2025-08-30 10:04;2025-09-01 07:00;2025-10-02 00:00;2025-10-02 00:00;MANUEL RODRIGUEZ 759 OSORNO;8;Estimado;CLP;4500000;4500000;4500000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;8;0;Cancelada automáticamente por vencimiento del plazo de selección;;;False;True;1;1;8
1057727-9-COT25;Bienestar HPO / Alimentos para elaboraciones Fiestas Patrias;Alimentación Gala folclórica Fiestas Patrias, entrega el 15 de septiembre 2025, en dependencias del Hospital de Puerto Octay. Proveedor deberá ofertar la totalidad de productos para adjudicarse.;5;cancelada;Cancelada;1;Primer llamado;2025-09-01 10:00;2025-09-05 07:14;2025-08-28 12:45;2025-09-01 10:00;2025-10-02 00:00;2025-10-02 00:00;Pedro Montt # 601;3;Disponible;CLP;259000;259000;259000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienestar;10;Región de los Lagos ;1;1;0;Cancelada automáticamente por vencimiento del plazo de selección;;;True;False;1;10;1
