CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-202-COT26;90121702;Intérpretes;Servicio de Interprete Lengua de Señas, según especificaciones técnicas adjuntas.;1;EA
1057532-193-COT26;55101520;Hojas o Folletos de Instrucciones;Talonarios de 13 cm de ancho x 21 cm de largo, cada talonario debe tener 99 hojas. Especificaciones adjuntas.;150;EA
1057532-201-COT26;42142608;Jeringas médicas sin agujas;Jeringas 20 ml s/agujas / Según especificaciones adjuntas;500;EA
1057532-201-COT26;42231505;Adaptadores, conectores o extensiones de los equipos de alimentación enteral;Sondas de Alimentación Enteral / Según especificaciones adjuntas;200;EA
1057532-188-COT26;44121618;Tijeras;"Tijera de oficina 7.5"" ergonómica 19 cm unidad";3;EA
1057532-188-COT26;44121615;Corcheteras;Corchetera oficina 20 hojas metal/plástico 26/6mm unidad;2;EA
1057532-188-COT26;44121635;Portarrollos de cinta adhesiva;Dispensador de Cinta Adhesiva de color negro;3;EA
1057532-188-COT26;31201505;Cinta adhesiva de doble cara;Cinta doble contacto, 18mmx50m;3;EA
1057532-188-COT26;60101722;Libretas de notas;Block Carta 7 Mm 80 Hojas;4;EA
1057532-188-COT26;56121303;Borradores;Borrador de Pizarra Económico Azul;2;EA
1057532-188-COT26;44111503;Bandejas de correspondencia;Bandeja Organizador Documentos Escritorio 3 Niveles, color negro;2;EA
1057532-188-COT26;44102001;Lámina para plastificar;Lámina Termolaminada Oficio 125 Mic de 100 Unidades;2;EA
1057532-188-COT26;44111509;Portalápiz;Porta Lápiz Malla Metal Mediano, Color negro;3;EA
1057532-188-COT26;45101702;Guillotinas de imprenta;Guillotina de mesa, Metálica 30X37.5 cm;1;EA
1057532-188-COT26;31201515;Cintas de papel;Cinta Masking, 24x40 m unidad;3;EA
1057532-188-COT26;14111525;Papel multiuso;opalina blanca, lisa, tamaño carta,;500;HOJ
1057532-188-COT26;44122011;Carpetas para archivos;Carpeta con fundas, tamaño oficio, color negro;4;EA
1057532-188-COT26;31261501;Cubiertas y cajas de plástico;Caja 53x38x40 cm transparente;4;EA
1057532-188-COT26;14111509;Artículos de papelería;Papel Couché Glossy Laser Carta Resma 250 hojas 130 grs para Laser;250;HOJ
1077241-12-COT26;10151805;Semillas o almácigos de cilantro;180 sachet de Semillas verduras (cilantro, pepino, albahaca, acelga, ciboulette, lechuga, tomate, pepino, zanahoria, espinaca);180;SACH
1077241-12-COT26;10151805;Semillas o almácigos de cilantro;150 Sachet de Semillas medicinal (melisa, cardo mariano, diente de león, boldo, grosellero negro, tila, menta, poleo);150;SACH
