CodigoLicitacion;Numero;Nombre;CodigoEstado;Estado;Descripcion;Tipo;CodigoTipo;TipoConvocatoria;Moneda;Etapas;EstadoEtapas;C_CodigoOrganismo;C_NombreOrganismo;C_RutUnidad;C_CodigoUnidad;C_Unidad;C_DireccionUnidad;C_ComunaUnidad;C_RegionUnidad;C_RutUsuario;C_CodigoUsuario;C_Usuario;C_Cargo;FechaCreacion;FechaCierre;FechaInicio;FechaFinal;FechaPubRespuestas;FechaActoAperturaTecnica;FechaActoAperturaEconomica;FechaPublicacion;FechaAdjudicacion;FechaEstimadaAdjudicacion;FechaSoporteFisico;FechaTiempoEvaluacion;FechaEstimadaFirma;FechaVisitaTerreno;FechaEntregaAntecedentes;FechaInicioContrato;DiasCierreLicitacion;Informada;TomaRazon;EstadoPublicidadOfertas;JustificacionPublicidad;Contrato;Obras;CantidadReclamos;UnidadTiempoEvaluacion;DireccionVisita;DireccionEntrega;Estimacion;FuenteFinanciamiento;VisibilidadMonto;MontoEstimado;JustificacionMonto;Tiempo;UnidadTiempo;Modalidad;TipoPago;Resp_Pago;Resp_Email_Pago;Resp_Contrato;Resp_Email;Resp_Fono;ProhibicionContratacion;SubContratacion;UnidadTiempoDuracion;TiempoDuracionContrato;TipoDuracionContrato;ObservacionContract;ExtensionPlazo;EsBaseTipo;UnidadTiempoContratoLicitacion;ValorTiempoRenovacion;PeriodoTiempoRenovacion;EsRenovable;CodigoBIP;Adj_Tipo;Adj_Fecha;Adj_Numero;Adj_NumeroOferentes;Adj_UrlActa;DescripcionTipoLicitacion;DescripcionMoneda;DescripcionTipoConvocatoria;DescripcionEstimacion;DescripcionTipoPago;DescripcionUnidadTiempoEval;DescripcionUnidadTiempoDuracion;DescripcionAdjTipo;Informada_Desc;TomaRazon_Desc;Contrato_Desc;Obras_Desc;VisibilidadMonto_Desc;SubContratacion_Desc;ExtensionPlazo_Desc;EsBaseTipo_Desc;EsRenovable_Desc
1057922-7-LP25;;ADQ. EQUIPOS DE ESTERILIZACIÓN PARA CESFAM CHUYACA;8;Adjudicada;ADQUISICIÓN DE EQUIPOS DE ESTERILIZACIÓN PARA HABILITAR CESFAM CON SAR CHUYACA.;LP;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057922;Activos Fijos;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;1509881;Ariela Acevedo;PROFESIONAL APOYO;2025-03-20T12:25:14.047;2025-04-28T15:15:00;2025-04-07T09:00:00;2025-04-16T17:00:00;2025-04-21T17:00:00;2025-04-28T15:16:00;2025-04-28T15:16:00;2025-04-07T08:47:33.17;2025-05-23T14:33:04.707;2025-05-30T17:00:00;;1900-01-11T00:00:00;2025-06-18T00:00:00;;;2025-04-07T09:00:00;0;0;0;1;;0;0;289;2;;;1;SECTORIAL;1;158413000.0;;;2;1;4;Rodrigo Martínez Alvarado;;Miguel Navarro Salgado;;;;1;1;0; ;;0;0;1;0; ;0;;2;2025-05-23T00:00:00;8957;1;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=E15V6SGn/073uNBMKFg/3pl4ah8LPahce54PGpDwgmQ=;Licitación Pública Mayor a 1000 UTM;Peso Chileno;Pública;Presupuesto Disponible;Pago Anual;Días;Horas;Resolución;No;No;No;;Sí;Sí;No;No;No
1057532-35-LE25;;ADQUISICIÓN DE VILDAGLIPTINA 50 MG COMPRIMIDOS POR FALTANTE CENABAST PARA SERVICIO DE SALUD OSORNO.;8;Adjudicada;La presente licitación se requiere la Adquisición medicamento para la Red de Programas Ministeriales APS por faltante CENABAST para asegurar cobertura de terapéuticas en APS.;LE;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057532;Bienes y Servicios;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;1590644;JACQUELINE  OYARZUN ALVAREZ;Comprador administrativo;2025-04-28T00:00:00;2025-05-19T15:10:00;2025-05-07T14:00:00;2025-05-09T15:00:00;2025-05-12T15:00:00;2025-05-19T15:20:00;2025-05-19T15:20:00;2025-05-07T12:13:08.493;2025-05-30T16:02:47.75;2025-06-18T17:00:00;;;;;;2025-05-07T14:00:00;0;0;0;1;;2;0;289;1;;;2;Programas Ministeriales APS;0;0.0;Según Resolución adjunta;;1;1;1;Rodrigo Martinez Alvarado;;Eleuterio Román;;;De acuerdo a punto 7.5 de las bases.;0;4;0; ;;0;0;1;0; ;0;;2;2025-05-30T00:00:00;N°9069;6;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=+GZVtgU69a4kOzMLbfIbUehy3Y0kJiJ7QiUhdexxjHI=;Licitación Pública Entre 100 y 1000 UTM;Peso Chileno;Pública;Precio Referencial;Pago a 30 días;Horas;Meses;Resolución;No;No;;;No;No;No;No;No
1057532-40-LE25;;15 CUPOS ADICIONALES DE SALA CUNA SSO;8;Adjudicada;CONTRATACION DE 15 CUPOS ADICIONALES BENEFICIO DE SALA CUNA PARA HIJOSAS FUNCIONARIAS DEPENDIENTES DEL SERVICIO DE SALUD OSORNO;LE;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057532;Bienes y Servicios;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;621550;Lesly Andrea Díaz Aburto;Administrativo;2025-05-16T15:56:21.503;2025-05-26T15:00:00;2025-05-20T12:50:00;2025-05-22T17:00:00;2025-05-23T17:00:00;2025-05-26T15:01:00;2025-05-26T15:01:00;2025-05-20T12:47:29.67;2025-06-12T16:42:05.51;2025-06-24T17:00:00;;;;;;2025-05-20T12:50:00;0;0;0;1;;1;0;289;1;;;1;;0;0.0;;7;1;1;1;RODRIGO MARTINEZ;;CLAUDIA MUÑOZ;;;DE ACUERDO AL NUMERAL 7.7 DE LAS BASES ADJUNTAS;0;4;7; ;;0;0;2;0; ;0;;2;2025-06-12T00:00:00;9489;2;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=haIphxycl/+Ed+WVacR+ugu5ZHIJCCFIg+FHwNbFVYY=;Licitación Pública Entre 100 y 1000 UTM;Peso Chileno;Pública;Presupuesto Disponible;Pago a 30 días;Horas;Meses;Resolución;No;No;Sí;;No;No;No;No;No
1057532-34-LE25;;SERVICIO DE EXAMENES CON INFORME RADIOLOGICO;7;Desierta (o art. 3 ó 9 Ley 19.886);F3-200-BMC  Mantener la disponibilidad de exámenes de la especialidad de ecotomografía abdominal y mamaria para los usuarios requirentes de los Hospitales dependientes del Servicio de Salud Osorno.;LE;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057532;Bienes y Servicios;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;1545488;PAULINA NICOLE LONCOPAN CARRILLO;PROFESIONAL APOYO;2025-04-25T00:00:00;2025-06-16T15:00:00;2025-06-04T12:30:00;2025-06-06T17:00:00;2025-06-09T17:00:00;2025-06-16T15:01:00;2025-06-16T15:01:00;2025-06-04T11:57:17.197;2025-07-02T16:48:59.77;2025-07-29T17:00:00;;;;;;2025-06-04T12:30:00;0;0;0;1;;1;0;289;1;;;1;SECTORIAL;1;13000000.0;;7;1;1;4;RODRIGO MARTINEZ;;Barbara Mendez;;;;1;4;7; ;;0;0;2;0; ;0;;;;;1;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=VqfX5Razs383LlSH40IYLBbfbyROKesHPjvAuLYlMAA=;Licitación Pública Entre 100 y 1000 UTM;Peso Chileno;Pública;Presupuesto Disponible;Pago Anual;Horas;Meses;;No;No;Sí;;Sí;Sí;No;No;No
1057922-12-LE25;;Caldera Mural GLP para Hospital de Puerto Octay;8;Adjudicada;Adquirir equipo para proveer agua caliente sanitaria y de calefacción para todo el Hospital de Puerto Octay;LE;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057922;Activos Fijos;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;6060;Rubén Uribe;Administrativo;2025-05-02T12:40:35.957;2025-06-16T15:15:00;2025-05-26T13:01:00;2025-06-02T17:00:00;2025-06-05T17:00:00;2025-06-16T15:16:00;2025-06-16T15:16:00;2025-05-26T11:53:00;2025-07-03T16:23:41.15;2025-06-30T17:00:00;;1900-01-11T00:00:00;;;;2025-05-26T13:01:00;0;0;0;1;;1;0;289;2;;;2;Servicio Salud Osorno;0;0.0;;;2;1;1;Erwin Camino B.;;khris Silva;;;Es Servicio NO autoriza la subcontratación parcial a terceros numeral 7.7 de las bases;0;1;0; ;;0;0;1;0; ;0;;2;2025-07-03T00:00:00;10819;2;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ziS+DqBoQmjM6humT3unrk4n2+gxikSwW1wELRplEO0=;Licitación Pública Entre 100 y 1000 UTM;Peso Chileno;Pública;Precio Referencial;Pago a 30 días;Días;Horas;Resolución;No;No;Sí;;No;No;No;No;No
1057532-49-LE25;;PRESTACIONES DE REHABILITACIÓN INTEGRAL TEA;7;Desierta (o art. 3 ó 9 Ley 19.886);ADQUISICIÓN DE PRESTACIONES DE REHABILITACIÓN INTEGRAL PARA EVALUACIÓN DIAGNÓSTICA Y TRATAMIENTO EN NIÑOS, NIÑAS Y ADOLESCENTES CON TRASTORNO DEL ESPECTRO AUTISTA;LE;1;1;CLP;1;0;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057532;Bienes y Servicios;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;621550;Lesly Andrea Díaz Aburto;Administrativo;2025-06-13T11:17:15.833;2025-07-07T15:00:00;2025-06-26T13:00:00;2025-06-30T17:00:00;2025-07-01T17:00:00;2025-07-07T15:01:00;2025-07-07T15:01:00;2025-06-26T12:41:21.973;2025-08-20T17:00:00;2025-08-20T17:00:00;;;;;;2025-06-26T13:00:00;0;0;0;1;;1;0;289;1;;;1;;0;0.0;;6;1;1;1;RODRIGO MARTINEZ;;KARIN AVILA;;;DE ACUERDO AL NUMERAL 7.7 DE LAS BASES ADJUNTAS.;0;4;6; ;;0;0;2;0; ;0;;;;;0;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=AuQRC0Y+K7jzKWNfHU95v+nfDwS+osNC3ws3Ky24kXE=;Licitación Pública Entre 100 y 1000 UTM;Peso Chileno;Pública;Presupuesto Disponible;Pago a 30 días;Horas;Meses;;No;No;Sí;;No;No;No;No;No
1057922-13-LP25;;ADQUISICIÓN DE INSTRUMENTAL QUIRÚRGICO PARA HABILITACIÓN CESFAM CON SAR CHUYACA;8;Adjudicada;F5-015-AAN/ADQUISICIÓN DE INSTRUMENTAL QUIRÚRGICO PARA CESFAM CON SAR CHUYACA;LP;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057922;Activos Fijos;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;1509881;Ariela Acevedo;PROFESIONAL APOYO;2025-05-12T00:00:00;2025-06-06T15:15:00;2025-05-22T14:50:00;2025-05-27T15:00:00;2025-05-29T15:00:00;2025-06-06T15:16:00;2025-06-06T15:16:00;2025-05-22T14:48:20.93;2025-07-07T15:21:40.3;2025-07-07T17:00:00;;1900-01-11T00:00:00;2025-08-05T00:00:00;;;2025-05-22T14:50:00;0;0;0;1;;0;0;289;2;;;2;;0;0.0;;;2;1;4;Rodrigo Martínez Alvarado;;Miguel Navarro Salgado;;;;0;1;0; ;;0;0;1;0; ;0;;2;2025-07-04T00:00:00;10858;9;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=ty5mJOC+YZfPmmlqv8s82AUarv2k6gmSUb/wY+ZLFpc=;Licitación Pública Mayor a 1000 UTM;Peso Chileno;Pública;Precio Referencial;Pago Anual;Días;Horas;Resolución;No;No;No;;No;No;No;No;No
1057532-47-L125;;Adquisición de Fármacos Programas Ministeriales no despachados CENABAST.;8;Adjudicada;Adquisición de Fármacos Programas Ministeriales por faltante CENABAST en riesgo de falta.;L1;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057532;Bienes y Servicios;Ruta Puerto Octay U-55 (Calle de Servicio);Osorno;Región de los Lagos ;;1590644;JACQUELINE  OYARZUN ALVAREZ;Comprador administrativo;2025-06-03T15:28:40.097;2025-06-16T15:15:00;2025-06-11T10:57:50.41;2025-06-12T17:00:00;2025-06-13T17:00:00;2025-06-16T15:30:00;2025-06-16T15:30:00;2025-06-11T10:57:50.41;2025-07-09T10:12:48.603;2025-07-07T18:58:00;;;;;;2025-06-11T10:57:50.41;0;0;0;1;Todas las ofertas técnicas serán visibles al público en general, través del portal www.mercadopublico.cl, desde el momento de la apertura electrónica.;0;0;289;2;;;2;;1;5200000.0;0;;2;0;-1;;;;;;;1;0;0; ;;0;0;0;0; ;0;;2;2025-07-09T00:00:00;10873;8;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=xn5yBNEe4xucQk8AvjjcsQqpPpZorQcRF/9yga0YnMg=;Licitación Pública Menor a 100 UTM;Peso Chileno;Pública;Precio Referencial;;Días;;Resolución;No;No;No;;Sí;Sí;No;No;No
1057922-23-LE25;;ADQUISICION ELECTROESTIMULADOR CON BIOFEEDBACK-PNC;8;Adjudicada;F5-010-BMC-REPOSICIÓN Y ADQUISICIÓN DE EQUIPOS Y EQUIPAMIENTO PARA EL SERVICIO DE SALUD OSORNO, CONTEMPLADOS POR PLAN NACIONAL DEL CÁNCER 2025;LE;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057922;Activos Fijos;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;2167366;Bastian Miranda Coronado;PROFESIONAL;2025-06-16T11:20:22.79;2025-06-25T17:01:00;2025-06-19T12:00:00;2025-06-23T17:00:00;2025-06-24T17:00:00;2025-06-25T17:02:00;2025-06-25T17:02:00;2025-06-19T11:12:35.313;2025-07-09T11:25:27.64;2025-08-07T17:00:00;;1900-01-16T00:00:00;;;;2025-06-19T12:00:00;0;0;0;1;;2;0;289;2;;;2;SECTORIAL;1;10500000.0;;;2;1;4;RODRIGO MARTINEZ;;MARIA ELENA MUÑOZ;;;De acuerdo a lo establecido en numeral 7.6 de las bases.;1;1;0; ;;0;0;1;0; ;0;;2;2025-07-08T00:00:00;10871;1;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=CHZ941ejsixEewYn8BFrlNsLIVVsKaDyGCzbyvcy0No=;Licitación Pública Entre 100 y 1000 UTM;Peso Chileno;Pública;Precio Referencial;Pago Anual;Días;Horas;Resolución;No;No;;;Sí;Sí;No;No;No
1057922-14-LP25;;ADQUISICIÓN DE EQUIPOS CRR PARA PABELLÓN DEL HOSPITAL BASE SAN JOSE DE OSORNO;8;Adjudicada;F5-016-AAN/ADQUISICIÓN DE INSTRUMENTAL QUIRÚRGICO PARA CESFAM CON SAR CHUYACA;LP;1;1;CLP;1;1;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057922;Activos Fijos;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;1509881;Ariela Acevedo;PROFESIONAL APOYO;2025-05-15T00:00:00;2025-06-16T15:15:00;2025-05-26T11:30:00;2025-06-02T15:00:00;2025-06-04T15:00:00;2025-06-16T15:16:00;2025-06-16T15:16:00;2025-05-26T11:28:14.027;2025-07-09T08:56:18.157;2025-07-17T17:00:00;;1900-01-11T00:00:00;2025-08-18T00:00:00;;;2025-05-26T11:30:00;0;0;0;1;;0;0;289;2;;;2;;1;78420000.0;;;2;1;4;Rodrigo Martínez Alvarado;;Miguel Navarro Salgado;;;;1;1;0; ;;0;0;1;0; ;0;;2;2025-07-08T00:00:00;10870;6;http://www.mercadopublico.cl/Procurement/Modules/RFB/StepsProcessAward/PreviewAwardAct.aspx?qs=KxJWaK93EemOHNIENZfSZOLt2vO2+5Qk85o7T3XPCwU=;Licitación Pública Mayor a 1000 UTM;Peso Chileno;Pública;Precio Referencial;Pago Anual;Días;Horas;Resolución;No;No;No;;Sí;Sí;No;No;No
