CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-175-SE26;1;94131600;Organizaciones sociales, laborales y clubes / Organizaciones, asociaciones y movimientos cívicos / Organizaciones de beneficencia;94131601;Hogares de beneficencia;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA HOMBRES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;Categoria 1 (Reajustado) / 7 Beneficiarios;191.0;;35500.0;0.0;6780500.0
1057532-175-SE26;2;94131600;Organizaciones sociales, laborales y clubes / Organizaciones, asociaciones y movimientos cívicos / Organizaciones de beneficencia;94131601;Hogares de beneficencia;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA HOMBRES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;Categoria 3 / 1 Beneficiario;31.0;;65546.0;0.0;2031926.0
1077241-6-SE26;1;78111800;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos;Zonas Rurales / Enero 2026    Rio Negro: 1  San Pablo: 1  San Juan: 2;Servicio de movilización para el Programa de Capacitación en Prevención y Diagnóstico Precoz del Cáncer Colorrectal PREVEC, año 2025;1.0;;660000.0;0.0;660000.0
1077241-6-SE26;2;78111800;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111802;Servicios de autobuses regulares, recorridos fijos o servicios programados;Zonas Urbanas / Enero 2026    Osorno: 7  Purranque: 3  Rio Negro: 1  Puerto Octay: 1  San Pablo: 2  Puyehue: 3;Servicio de movilización para el Programa de Capacitación en Prevención y Diagnóstico Precoz del Cáncer Colorrectal PREVEC, año 2025;1.0;;2120000.0;0.0;2120000.0
1057532-179-SE26;1;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO//Días Hogar Protegido – Categoría 2;31.0;;40000.0;0.0;1240000.0
1057532-179-SE26;2;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO//Días Hogar Protegido – Categoría 1;186.0;;26836.0;0.0;4991496.0
1057532-179-SE26;3;30222500;Artículos para estructuras, obras y construcciones / Construcciones permanentes / Construcciones para alojamiento;30222501;Casas residenciales;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO;ADQUISICIÓN 8 CUPOS DÍA HOGAR PROTEGIDO PARA MUJERES PARA EL SERVICIO DE SALUD OSORNO EN LA PROVINCIA DE OSORNO//Días Hogar Protegido – Categoría 3;31.0;;60000.0;0.0;1860000.0
1057532-226-SE26;1;85122200;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;INSUMOS PARA ANALISIS DE GASES SANGUINEOS, CON ARRIENDO DE EQUIPO (HOSPITAL DE PURRANQUE);Test pack para determinación de gases sanguíneos. / febrero 2026. Presentación 200 test / Cód: 6526;400.0;;2194.0;0.0;877600.0
1057532-226-SE26;2;85122200;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;INSUMOS PARA ANALISIS DE GASES SANGUINEOS, CON ARRIENDO DE EQUIPO (HOSPITAL DE PURRANQUE);Controles de calidad para pruebas de gases / febrero 2026. Presentación 30 ampollas / Cód:6204;30.0;;6358.0;0.0;190740.0
1057532-226-SE26;3;85122200;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Evaluaciones de salud individuales;85122201;Exámenes médicos;INSUMOS PARA ANALISIS DE GASES SANGUINEOS, CON ARRIENDO DE EQUIPO (HOSPITAL DE PURRANQUE);Atrapa coágulos para analizador de gases sanguíneos. / febrero 2026. Presentación 200 unidades / Cód: 8051;400.0;;277.0;0.0;110800.0
1057532-229-SE26;1;46191500;Equipos y suministros de defensa, orden público, protección y seguridad / Protección contra incendios / Equipos de prevención de incendios;46191505;Sistemas de alarma de incendio;Servicio de mantención preventiva y correctiva de 50 sensores de humo, con suministro e instalación de micas y panel Jablotron 100, integración del sistema, pruebas operativas y entrega de informes técnicos por personal certificado.;SERVICIO DE MANTENCIÓN Y INSTALACIÓN DE SENSORES DE HUMO PARA COSAM ORIENTE;1.0;;3500000.0;0.0;3500000.0
