CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-1974-AG21;1;52141500;Muebles, accesorios, electrodomésticos y productos electrónicos / Aparatos electrodomésticos / Electrodomésticos para cocina;52141523;Hervidores y teteras;TERMOHERVIDOR CON CAPACIDAD DE 4.6 LITROS APROX., INCLUIR COTIZACIÓN CON ESPECIFACIONES TÉCNICOS E IMAGEN;TERMOHERVIDOR ELÉCTRICO ELECTRÓN INOX. 4.6 LITROS/PLAZO DE ENTREGA 5 DÍAS HÁBILES/;5.0;;46980.0;0.0;234900.0
1057532-2059-SE21;1;41116100;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Kits para ensayos manuales, controles de calidad, calibradores y normativas;41116105;Reactivos o soluciones químicos;Kit de Quantiferon: quantiferon TB Gold Plus kit ELISA con  2 placas de ELISA.;622120 TB Gold Plus kit ELISA con 2 placas de ELISA. QYAGEN.;2.0;;720000.0;0.0;1440000.0
1057532-2059-SE21;2;41116100;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Kits para ensayos manuales, controles de calidad, calibradores y normativas;41116105;Reactivos o soluciones químicos;Kit tubos de toma de muestra para Quantiferon,. según especificaciones técnicas adjuntas;622526  Kit tubos de toma de muestra para Quantiferon QYAGEN.;1.0;;895000.0;0.0;895000.0
1057532-2036-SE21;1;42181700;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Unidades de electrocardiografía (ECG) y productos relacionados;42181701;Unidades de electrocardiografía (ECG);INFORMES DE ECG NOVIEMBRE //CONVENIO DE PRESTACIÓN DE SERVICIO DE ELECTROCARDIOGRAFÍA A DISTANCIA Y ARRIENDO DE ELECTROCARDIÓGRAFOS PARA 22 ESTABLECIMIENTOS DE LA RED ASISTENCIAL PRIMARIA DE LA PROVINCIA DE OSORNO;"INFORMES DE ECG NOVIEMBRE 2021 ""CONVENIO DE PRESTACIÓN DE SERVICIO DE ELECTROCARDIOGRAFÍA A DISTANCIA Y ARRIENDO DE ELECTROCARDIÓGRAFOS PARA 22 ESTABLECIMIENTOS DE LA RED ASISTENCIAL PRIMARIA DE LA PROVINCIA DE OSORNO";2054.0;;4350.0;0.0;8934900.0
1057532-2053-CM21;1;42182100;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Estetoscopio y artículos relacionados;42182103;Estetoscopio mecánico o accesorios;(1579114 )ESTETOSCOPIO LITTMANN FONENDOSCOPIO CLASICO III COLOR AZUL CARIBE UNIDAD 1581012;(1579114) ESTETOSCOPIO LITTMANN FONENDOSCOPIO CLASICO III COLOR AZUL CARIBE UNIDAD, Código: , Región: X, Monto por unidad a pagar por despacho: $0;30.0;;77213.0;0.0;2316390.0
1057532-2053-CM21;2;42312300;Equipamiento y suministros médicos / Productos para el cuidado de heridas / Productos para la limpieza de heridas y desbridamiento;42312312;Bandejas de cuidado o limpieza cutáneos;(1555579 )BANDEJA DE CURACIÓN  PRIMUS PACK KIT CURACION BASICA 10 COMPONENTES UNIDAD 1557461;(1555579) BANDEJA DE CURACIÓN  PRIMUS PACK KIT CURACION BASICA 10 COMPONENTES UNIDAD, Código:  , Región: X, Monto por unidad a pagar por despacho: $0;600.0;;1623.0;0.0;973800.0
1057532-2053-CM21;3;42181900;Equipamiento y suministros médicos / Productos para exámenes y control de pacientes / Unidades de control de cuidado intenso y productos relacionados;42181903;Unidades de monitorización de flujo sanguíneo card;(1534030 )MONITOR SIGNOS VITALES CHOICEMMED MD300C2 UNIDAD 1535909;(1534030) MONITOR SIGNOS VITALES CHOICEMMED MD300C2 UNIDAD, Código: , Región: X, Monto por unidad a pagar por despacho: $0;30.0;;38393.0;0.0;1151790.0
1057532-1946-SE21;1;81111500;Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios informáticos / Ingeniería en computación e informática;81111509;Desarrollo de aplicaciones para Internet o intrane;Servicio de licencia médica Mixta Cosam Oriente;Servicio de licencia médica Mixta Cosam Oriente;2.0;;83.0;0.0;166.0
1057532-1946-SE21;2;81111500;Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios informáticos / Ingeniería en computación e informática;81111509;Desarrollo de aplicaciones para Internet o intrane;Servicio de licencia médica Full Cosam Oriente.;Servicio de licencia médica Full Cosam Oriente.;14.0;;90.0;0.0;1260.0
1057532-1945-SE21;1;81111500;Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios informáticos / Ingeniería en computación e informática;81111509;Desarrollo de aplicaciones para Internet o intrane;Servicio de licencia médica Mixta Cosam Rahue;Servicio de licencia médica Mixta Cosam Rahue;1.0;;83.0;0.0;83.0
