CodigoOrganismo;NombreOrganismo;CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
7470;Hospital Río Negro;1057531-339-SE24;1;42152400;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Materiales dentales;42152424;Cementos dentales a base de agua;CEMENTO DE RESINA ADHESIVA UNIVERSAL TIPO U200 (Caja 1 set más puntas mezcladoras).;3MUU011265327	Relyx U200 Rf Clicker Translucido 11grs;1.0;;70215.0;0.0;70215.0
7470;Hospital Río Negro;1057531-339-SE24;2;51102700;Medicamentos y productos farmacéuticos / Medicamentos anti infecciosos / Antisépticos;51102707;Gluconato de clorhexidina;CLORHEXIDINA 0,12% COLUTORIO (BIDON 3.8 LITROS);MAV100693	Cod.100693Colutorio Bidon 3.8 Lts. Oralgene;6.0;;8235.0;0.0;49410.0
7470;Hospital Río Negro;1057531-339-SE24;3;42152100;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Equipo y suministros dentales para impresión;42152102;Formadores dentales;GODIVA LAPICES DE BAJA FUSIÓN (PAQUETE X 15 UNIDADES);KA447500	Godiva Lapiz Baja Fusion Kerr;20.0;;8400.0;0.0;168000.0
7470;Hospital Río Negro;1057531-339-SE24;4;42151600;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;LIMAS ENDODONTICAS MECANIZADAS 20 ZENFLEX KERR  25 MM TAPER 04. (PAQUETE X 6 UNIDADES). Ofertar en valores por paquete.;LIMAS ENDODONTICAS MECANIZADAS 20 ZENFLEX KERR KA818-1202	Zenflex 2004 25mm;9.0;;26671.0;0.0;240039.0
7470;Hospital Río Negro;1057531-339-SE24;5;42151600;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;LIMAS ENDODONTICAS MECANIZADAS 25 ZENFLEX KERR  25 MM TAPER 04. (PAQUETE X 6 UNIDADES). Ofertar en valores por paquete.;LIMAS ENDODONTICAS MECANIZADAS 25 ZENFLEX KERR  KA818-1252	Zenflex 2504 25mm;9.0;;26671.0;0.0;240039.0
7470;Hospital Río Negro;1057531-339-SE24;6;42151600;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;LIMAS ENDODONTICAS MECANIZADAS 30 ZENFLEX KERR  25 MM TAPER 04 (PAQUETE X 6 UNIDADES). Ofertar en valores por paquete.;LIMAS ENDODONTICAS MECANIZADAS 30 ZENFLEX KERR  KA818-1302	Zenflex 3004 25mm;9.0;;26671.0;0.0;240039.0
7470;Hospital Río Negro;1057531-339-SE24;7;42151600;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;LIMAS ENDODONTICAS MECANIZADAS 35 ZENFLEX KERR  25 MM TAPER 04. (PAQUETE X 6 UNIDADES). Ofertar en valores por paquete.;LIMAS ENDODONTICAS MECANIZADAS 35 ZENFLEX KERR KA818-1352	Zenflex 3504 25mm;9.0;;26671.0;0.0;240039.0
7470;Hospital Río Negro;1057531-339-SE24;8;42151600;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;LIMAS ENDODONTICAS MECANIZADAS 40 ZENFLEX KERR  25 MM TAPER 04. (PAQUETE X 6 UNIDADES). Ofertar en valores por paquete.;LIMAS ENDODONTICAS MECANIZADAS 40 ZENFLEX KERR KA818-1402	Zenflex 4004 25mm;9.0;;26671.0;0.0;240039.0
7470;Hospital Río Negro;1057531-339-SE24;9;42151600;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Instrumentos y dispositivos dentales y de sub-especialidad;42151620;Limas o raspadores dentales;LIMAS ENDODONTICAS MECANIZADAS 45 ZENFLEX KERR  25 MM TAPER 04. (PAQUETE X 6 UNIDADES). Ofertar en valores por paquete.;LIMAS ENDODONTICAS MECANIZADAS 45 ZENFLEX KERR  KA818-1452	Zenflex 4504 25mm;9.0;;26671.0;0.0;240039.0
7470;Hospital Río Negro;1057531-339-SE24;10;12352300;Productos químicos industriales / Compuestos y mezclas / Compuestos inorgánicos;12352310;Siliconas;SILICONA DE ADICIÓN CONSISTENCIA ROCA (CAJA X 2 UNIDADES MÁS PUNTAS MEZCLADORAS). Ofertar en valores por caja;KA33969	KA33969-Silicona Adición Take 1 Advanced Regular Body Wash Regular Set 2x50ml MARCA KERR;5.0;;25344.0;0.0;126720.0
